country,year,local_price,dollar_price,hourly_wage_usd,bigmacs_per_hour
Belgium,2015,3.7,3.7,12.8630188780987,3.4764915886753243
Brazil,2015,13.5,6.75,2.15374099725442,0.31907274033398814
Canada,2015,5.7,5.7,9.73080519364237,1.70715880590217
Chile,2015,2100.0,3.35,3.144193029913,0.9385650835561195
Colombia,2015,7900.0,3.34,2.69013988806077,0.8054311042098115
Costa Rica,2015,2150.0,4.01,3.67101599527658,0.915465335480444
Estonia,2015,2.9,2.9,4.72811032884542,1.6303828720156621
France,2015,3.9,3.9,13.7072581818651,3.5146815850936157
Germany,2015,3.67,3.67,12.7116912176516,3.463676081103978
Greece,2015,3.05,3.05,5.78080532646554,1.8953460086772262
Hungary,2015,860.0,3.17,4.39945917870627,1.3878420122101798
Ireland,2015,3.49,3.49,9.27354172617578,2.6571752797065273
Israel,2015,17.5,5.83,6.36867340948537,1.092396811232482
Japan,2015,370.0,3.16,7.39982133234355,2.3417156115011233
Mexico,2015,49.0,3.5,1.02233096551319,0.29209456157519714
Netherlands,2015,3.45,3.45,12.6024446280817,3.6528825008932464
New Zealand,2015,5.9,5.9,11.0584352901186,1.8743110661217965
Poland,2015,9.2,3.07,6.42295339667657,2.0921672301878083
Portugal,2015,3.0,3.0,5.96572717015782,1.9885757233859398
Spain,2015,3.65,3.65,8.55943233362088,2.3450499544166794
United States,2015,4.29,4.29,8.95188170398463,2.0866857118845292
Australia,2015,5.3,5.3,13.1769726004659,2.4862212453709245
Belgium,2015,3.7,3.7,12.8630188780987,3.4764915886753243
Brazil,2015,13.5,4.5,2.15374099725442,0.4786091105009822
Canada,2015,5.85,5.85,9.73080519364237,1.66338550318673
Chile,2015,2100.0,3.27,3.144193029913,0.9615269204626912
Colombia,2015,7900.0,2.92,2.69013988806077,0.9212807835824556
Costa Rica,2015,2150.0,4.03,3.67101599527658,0.9109220831951811
Estonia,2015,2.95,2.95,4.72811032884542,1.6027492640153966
France,2015,4.1,4.1,13.7072581818651,3.343233702893927
Germany,2015,3.59,3.59,12.7116912176516,3.5408610634127022
Greece,2015,3.05,3.05,5.78080532646554,1.8953460086772262
Hungary,2015,900.0,3.19,4.39945917870627,1.3791408083718713
Ireland,2015,3.7,3.7,9.27354172617578,2.5063626286961567
Israel,2015,17.5,5.83,6.36867340948537,1.092396811232482
Japan,2015,370.0,3.01,7.39982133234355,2.458412402771944
Mexico,2015,49.0,3.27,1.02233096551319,0.31263943899485935
Netherlands,2015,3.45,3.45,12.6024446280817,3.6528825008932464
New Zealand,2015,5.9,5.9,11.0584352901186,1.8743110661217965
Poland,2015,9.6,3.2,6.42295339667657,2.007172936461428
Portugal,2015,3.0,3.0,5.96572717015782,1.9885757233859398
Spain,2015,3.65,3.65,8.55943233362088,2.3450499544166794
United States,2015,4.29,4.29,8.95188170398463,2.0866857118845292
Australia,2016,5.3,5.3,13.3307638693632,2.515238465917585
Belgium,2016,3.95,3.95,12.7408654917425,3.2255355675297466
Brazil,2016,13.5,3.38,2.21189252915395,0.6544060737141865
Canada,2016,5.84,5.84,9.88118650428104,1.691983990459082
Chile,2016,2100.0,2.94,3.31707983797528,1.1282584482909115
Colombia,2016,7900.0,2.43,2.67729043112729,1.1017656095174033
Costa Rica,2016,2150.0,4.02,3.77466217878177,0.9389706912392464
Estonia,2016,3.0,3.0,5.12460281180684,1.7082009372689466
France,2016,4.1,4.1,13.767598590645,3.3579508757670733
Germany,2016,3.59,3.59,12.6494875366495,3.5235341327714487
Greece,2016,3.35,3.35,5.82893234881055,1.7399798056150895
Hungary,2016,900.0,3.08,4.63609285551818,1.5052249530903183
Ireland,2016,3.95,3.95,9.80876985096963,2.4832328736631974
Israel,2016,16.9,5.63,6.64939858904523,1.1810654687469326
Japan,2016,370.0,3.14,7.59578014083554,2.4190382614125925
Mexico,2016,49.0,2.88,1.05657946837245,0.3668678709626563
Netherlands,2016,3.45,3.45,12.806086413619,3.711909105396811
New Zealand,2016,5.9,5.9,11.3629406920135,1.9259221511887288
Poland,2016,9.6,2.4,6.83541893711871,2.8480912237994627
Portugal,2016,3.0,3.0,6.22319153981225,2.074397179937417
Spain,2016,3.5,3.5,8.66122618592239,2.474636053120683
United States,2016,4.29,4.29,8.84035329153365,2.0606884129449066
Australia,2016,5.75,5.75,13.3307638693632,2.3183937164109913
Belgium,2016,3.95,3.95,12.7408654917425,3.2255355675297466
Brazil,2016,15.5,5.17,2.21189252915395,0.4278322106680755
Canada,2016,6.0,6.0,9.88118650428104,1.6468644173801732
Chile,2016,2300.0,3.53,3.31707983797528,0.9396826736473881
Colombia,2016,8900.0,3.04,2.67729043112729,0.8806876418181875
Costa Rica,2016,2250.0,4.12,3.77466217878177,0.9161801404810122
Estonia,2016,3.1,3.1,5.12460281180684,1.6530976812280127
France,2016,4.1,4.1,13.767598590645,3.3579508757670733
Germany,2016,3.79,3.79,12.6494875366495,3.3375956561080478
Greece,2016,3.35,3.35,5.82893234881055,1.7399798056150895
Hungary,2016,900.0,3.16,4.63609285551818,1.4671179922525888
Ireland,2016,4.0,4.0,9.80876985096963,2.4521924627424077
Israel,2016,16.9,5.63,6.64939858904523,1.1810654687469326
Japan,2016,370.0,3.49,7.59578014083554,2.1764413010990085
Mexico,2016,44.0,2.44,1.05657946837245,0.43302437228379104
Netherlands,2016,3.45,3.45,12.806086413619,3.711909105396811
New Zealand,2016,6.0,6.0,11.3629406920135,1.8938234486689167
Poland,2016,9.6,3.2,6.83541893711871,2.136068417849597
Portugal,2016,3.05,3.05,6.22319153981225,2.0403906687909017
Spain,2016,3.5,3.5,8.66122618592239,2.474636053120683
United States,2016,4.5,4.5,8.84035329153365,1.9645229536741442
Australia,2017,5.8,5.8,13.4495583663711,2.318889373512259
Belgium,2017,3.95,3.95,12.7256597390436,3.2216860098844555
Brazil,2017,16.5,5.5,2.27669928333354,0.41394532424246183
Canada,2017,5.98,5.98,10.0530186277924,1.6811067939452171
Chile,2017,2450.0,3.65,3.41573116748644,0.9358167582154631
Colombia,2017,9900.0,3.31,2.74622476208899,0.8296751547096646
Costa Rica,2017,2250.0,4.06,3.71427829103278,0.9148468697125074
Estonia,2017,3.1,3.1,5.42348402940567,1.7495109772276354
France,2017,4.1,4.1,13.753757826226,3.3545750795673173
Germany,2017,3.79,3.79,12.9598387187318,3.4194825115387335
Greece,2017,3.35,3.35,5.76429961896548,1.7206864534225312
Hungary,2017,900.0,3.06,5.14148477742139,1.6802237834710423
Ireland,2017,4.0,4.0,9.88231711269959,2.4705792781748976
Israel,2017,16.9,5.63,6.99934692838188,1.2432232554852363
Japan,2017,380.0,3.28,7.79349578840926,2.3760657891491648
Mexico,2017,49.0,2.33,1.09187469531917,0.4686157490640215
Netherlands,2017,3.61,3.61,12.8593162147332,3.5621374556047645
New Zealand,2017,6.0,6.0,11.5251450646907,1.9208575107817831
Poland,2017,9.6,2.4,7.23935769515698,3.016399039648742
Portugal,2017,3.05,3.05,6.45192184809204,2.1153842124891935
Spain,2017,3.95,3.95,9.17399852747802,2.3225312727792455
United States,2017,4.5,4.5,8.65597157509853,1.9235492389107844
Australia,2017,5.9,5.9,13.4495583663711,2.279586163791712
Belgium,2017,4.05,4.05,12.7256597390436,3.1421382071712594
Brazil,2017,16.5,5.5,2.27669928333354,0.41394532424246183
Canada,2017,5.97,5.97,10.0530186277924,1.6839227182231826
Chile,2017,2550.0,3.85,3.41573116748644,0.8872029006458285
Colombia,2017,9900.0,3.24,2.74622476208899,0.8476002352126512
Costa Rica,2017,2290.0,4.0,3.71427829103278,0.928569572758195
Estonia,2017,3.15,3.15,5.42348402940567,1.7217409617160857
France,2017,4.1,4.1,13.753757826226,3.3545750795673173
Germany,2017,3.9,3.9,12.9598387187318,3.32303556890559
Greece,2017,3.35,3.35,5.76429961896548,1.7206864534225312
Hungary,2017,862.0,3.22,5.14148477742139,1.5967344029258974
Ireland,2017,4.07,4.07,9.88231711269959,2.428087742678032
Israel,2017,16.9,5.63,6.99934692838188,1.2432232554852363
Japan,2017,380.0,3.36,7.79349578840926,2.3194927941694226
